dep,revratio2022,revratioadu2022,revratiofoy2022,revtot2022,pop2022_x,nadult2022,nfoyer2022,revmoyfoy2022,revmoyadu2022,revmoy2022,pibhab2022,pib2022,pop2022_y,nodiph2022,nodipf2022,nodip2022,bach2022,bacf2022,bac2022,suph2022,supf2022,sup2022,pbac2022,psup2022,popf2022,poph2022,popf0142022,popf15392022,popf40592022,popf60p2022,poph0142022,poph15392022,poph40592022,poph60p2022,agef2022,ageh2022,age2022,pop2022,propf2022,propf0142022,propf15392022,propf40592022,propf60p2022,prop0142022,prop15392022,prop40592022,prop60p2022
45,0.93931758,0.94748408,0.9586277,0.0097854221,691131,525525,389503,31666.771,23470.439,17704.809,0.87143028,0.0091025047,691131,127813,135356,263096,33071,41010,73466,68533,80968,149265,0.45845744,0.307239,358978,337760,63971,97532,91241,106234,68345,96652,89693,83070,42.89426457871102,39.84907749651281,41.41803868282054,696738,0.51522666,0.48347139,0.50226587,0.50427783,0.56118202,0.18990783,0.27870446,0.25968727,0.27170041
46,0.90530777,0.84063447,0.84607828,0.0023817597,174540,145592,108475,27948.877,20823.633,17063.771,0.74694669,0.0019703913,174540,37743,39163,76641,11369,13787,24513,17859,20528,37928,0.44895098,0.27270243,92267,86635,12148,17340,23450,39329,12475,19101,21754,33305,50.32613451017527,47.40849601554947,48.91324029023878,178902,0.51574045,0.49335986,0.47583765,0.51875943,0.5414682,0.13763401,0.20369253,0.25267464,0.40599883
47,0.85504359,0.82075351,0.81520385,0.0042442139,329308,267411,201893,26928.988,20331.154,16116.362,0.79386938,0.0039511109,329308,72571,74760,147203,19501,23058,42206,26696,34352,60752,0.41156694,0.2428516,175364,161981,27365,39808,44389,63802,26577,40058,41959,53387,46.86877418435057,44.49016363750682,45.72665061772582,337345,0.51983577,0.50730413,0.49843487,0.51407099,0.54443675,0.15990159,0.23674873,0.25596347,0.34738621
48,0.75993186,0.74140048,0.79385608,0.00088026607,76848,65143,45622,26223.799,18365.475,14323.641,0.71114695,0.00082596159,76848,17336,15594,32760,5622,6436,11775,7410,10294,17540,0.4722513,0.28256142,43225,41190,6593,10542,11393,14697,6537,10486,10990,13177,46.49168158386124,44.40978514765558,45.4758279437202,84415,0.51205355,0.50213253,0.50133157,0.50900239,0.52726555,0.15554108,0.24910265,0.2651543,0.33020198
49,0.70832402,0.7880255,0.92404932,0.0088809235,831801,708050,452798,30524.529,19520.438,13350.906,0.80033004,0.010061354,831801,198085,203842,401887,54796,62311,116951,90864,106284,197119,0.43867159,0.27532241,535251,514881,102172,153054,132126,147899,110031,151680,133563,119607,41.29222909126761,38.66736498962412,40.00525541911784,1050132,0.50969881,0.48148236,0.50225443,0.49729571,0.55288106,0.20207269,0.29018638,0.25300533,0.25473559
50,0.77912414,0.77784538,0.89631665,0.0057496983,489589,451805,294021,29608.424,19268.264,14685.389,0.70714504,0.0052324855,489589,132967,139634,272398,32575,37506,69337,46035,55394,101052,0.3848103,0.22821808,310238,294713,50232,73237,81475,105294,52319,77494,79557,85343,45.7304724944869,43.09603020495356,44.4470551423906,604951,0.51283163,0.48982456,0.48587883,0.50595534,0.55232722,0.16951951,0.24916233,0.26619014,0.315128
51,0.94441932,0.94461274,0.97635299,0.0080123451,562844,445070,322902,32252.299,23399.313,17800.969,0.94269979,0.0080191689,562844,106043,112755,218398,31281,35402,65698,54960,65677,120117,0.45969576,0.29716262,302146,283042,53149,85763,75320,87914,52034,88922,72588,69498,42.40546320581743,39.79714804327571,41.14388167952075,585188,0.51632297,0.50530028,0.49095801,0.50923544,0.55849618,0.17974223,0.29851091,0.25275296,0.26899388
52,0.8131541,0.78992242,0.81258702,0.0020144288,164351,142634,103976,26842.545,19567.428,15326.805,0.722552,0.0017947723,164351,41667,43717,84909,10603,12656,22648,12633,14744,26816,0.36810967,0.19956391,93163,89293,14322,20853,23343,34645,15201,23339,23631,27122,47.22105516845412,43.48214818895876,45.39125428137255,182456,0.51060528,0.48511329,0.47187275,0.49693447,0.56089818,0.16180888,0.24220634,0.25745386,0.33853093
53,0.87409759,0.87687266,0.88879722,0.0040403022,306653,231068,170950,29360.031,21721.301,16475.504,0.85823566,0.0039776051,306653,63270,66885,130132,17204,19546,36533,24407,29310,53394,0.4086495,0.24263494,160115,153350,29428,39078,40190,51419,30410,41410,40530,41000,44.01031149501554,40.94752665805475,42.51196886825981,313465,0.51079071,0.49179453,0.48551336,0.49789396,0.55636829,0.19089213,0.2567687,0.25750881,0.29483035
54,0.89977658,0.89134026,0.91974038,0.0099734534,735367,569311,413736,30382.189,22079.682,16959.516,0.72700047,0.0080799134,735367,127373,141223,268222,41367,44877,85352,74844,84941,159226,0.47694618,0.31050313,380939,360649,60700,113891,93651,112697,65391,114388,91369,89501,42.80866028933404,39.79364225467754,41.34239700588901,741588,0.5136801,0.48139834,0.49891141,0.50616688,0.55735964,0.17002837,0.30782455,0.24949163,0.27265543
